,utmx,utmy,orix,oriy,goalx,goaly,angle
197,223.90255422366317,203.9742831545882,-0.8245462955866413,-0.5657944913432326,-0.7814379809731679,-0.6239829179493449,4.15009480137459
198,222.72589945083018,202.84598410129547,-0.8359055148735346,-0.5488733644512284,-0.7821739982187196,-0.6230600585100463,5.2501867859913425
199,221.89366268308368,201.9008939564228,-0.8257098109860385,-0.5640951232207212,-0.783284330256997,-0.6216636212404967,4.098244324316767
200,220.88427180831786,201.15221929783002,-0.8182412389355593,-0.5748750080714945,-0.7830757387558466,-0.6219263520482029,3.3660643658853844
201,220.2123128522653,200.39825734402984,-0.8006226857612575,-0.599168853533318,-0.7839582905959251,-0.620813497441796,1.565170404120171
202,219.2156659665343,198.9073769915849,-0.6790419860171182,-0.7340994355166934,-0.7868017625640097,-0.6172057893654008,9.11880196959025
203,218.20969915602473,197.95930360583588,-0.6787196469892861,-0.7343974678542533,-0.7874534061789634,-0.6163741826984227,9.204488574613302
204,217.20677579985932,196.83398701716214,-0.6790418226849829,-0.7340995865988866,-0.7888643663009959,-0.6145673368968839,9.310698069992
205,216.2006190539105,195.89699116162956,-0.6653424259211476,-0.746538315339114,-0.789506675903683,-0.6137419724147247,10.430832726924198
206,215.19446243610582,194.9599952250719,-0.6781280326571759,-0.734943787867146,-0.7901635032345601,-0.6128961071471145,9.503260216672691
207,214.35899304435588,194.20322537980974,-0.7182956753974311,-0.695737969860312,-0.7906291777709448,-0.6122952745671323,6.330401138572738
208,213.3528366595856,193.26622929424047,-0.7191284067635916,-0.6948772082790301,-0.7913128083607048,-0.6114115138957511,6.3257983707776155
209,212.3563812043867,191.76427066186443,-0.6913045641319083,-0.7225634917503045,-0.7945231177684903,-0.6072339049587383,8.876770759455665
210,211.17972831157385,190.63597049890086,-0.6904043252147134,-0.7234237124430027,-0.7955419562239565,-0.6058985029585073,9.044351540514926
211,210.01329503697343,189.5078457002528,-0.6888630402024274,-0.7248915172928077,-0.7966235802251543,-0.6044756996184852,9.268701050035109
212,209.0166499876068,188.01696447608992,-0.6535962675606168,-0.7568433913504369,-0.7999795378951631,-0.6000272818372856,12.31485137682755
