timestamp;lat;lon
05/04/2020, 11:23:53;-23.45928;-47.46776
05/04/2020, 11:23:54;-23.459193;-47.467673
05/04/2020, 11:23:55;-23.459107;-47.4676
05/04/2020, 11:23:56;-23.459027;-47.467528
05/04/2020, 11:23:57;-23.458957;-47.467463
05/04/2020, 11:23:59;-23.4589;-47.467358
05/04/2020, 11:24:00;-23.458907;-47.467305
05/04/2020, 11:24:01;-23.45892;-47.467262
05/04/2020, 11:24:02;-23.458943;-47.467227

05/04/2020, 11:24:08;-23.458995;-47.466875
05/04/2020, 11:24:12;-23.459023;-47.466635
05/04/2020, 11:24:13;-23.45903;-47.466575
05/04/2020, 11:24:14;-23.458917;-47.466533
05/04/2020, 11:24:18;-23.458707;-47.466255
05/04/2020, 11:24:19;-23.45868;-47.466255
05/04/2020, 11:24:20;-23.458658;-47.46625
05/04/2020, 11:24:21;-23.458587;-47.466207
05/04/2020, 11:24:22;-23.458492;-47.466165
05/04/2020, 11:24:23;-23.458407;-47.466103
05/04/2020, 11:24:24;-23.458297;-47.466035
05/04/2020, 11:24:25;-23.458218;-47.465948
05/04/2020, 11:24:26;-23.45814;-47.465855
05/04/2020, 11:24:27;-23.458062;-47.465775
05/04/2020, 11:24:28;-23.457993;-47.465697
05/04/2020, 11:24:30;-23.457847;-47.465557
05/04/2020, 11:24:31;-23.45775;-47.465525
05/04/2020, 11:24:32;-23.457663;-47.465508
05/04/2020, 11:24:33;-23.457585;-47.465498
05/04/2020, 11:24:34;-23.457508;-47.465487
05/04/2020, 11:24:35;-23.457438;-47.465462
05/04/2020, 11:24:36;-23.45737;-47.465415
05/04/2020, 11:24:37;-23.457305;-47.465352
05/04/2020, 11:24:38;-23.45723;-47.46528
05/04/2020, 11:24:39;-23.457148;-47.465213
05/04/2020, 11:24:40;-23.457065;-47.465142
05/04/2020, 11:24:41;-23.456985;-47.465065
05/04/2020, 11:24:42;-23.456898;-47.464985
05/04/2020, 11:24:43;-23.456808;-47.464903
05/04/2020, 11:24:44;-23.456712;-47.464817
05/04/2020, 11:24:45;-23.456613;-47.464733
05/04/2020, 11:24:46;-23.456508;-47.464648
05/04/2020, 11:24:47;-23.456403;-47.464567
05/04/2020, 11:24:48;-23.456298;-47.464483
05/04/2020, 11:24:49;-23.456198;-47.464395
05/04/2020, 11:24:50;-23.4561;-47.464307
05/04/2020, 11:24:51;-23.456003;-47.464225
05/04/2020, 11:24:52;-23.455895;-47.464153
05/04/2020, 11:24:53;-23.455783;-47.464088
05/04/2020, 11:24:54;-23.455673;-47.464027
05/04/2020, 11:24:55;-23.455563;-47.463968
05/04/2020, 11:24:55;-23.455563;-47.463968
05/04/2020, 11:24:56;-23.455448;-47.463907
05/04/2020, 11:24:57;-23.455327;-47.463852
05/04/2020, 11:24:58;-23.455208;-47.463798
05/04/2020, 11:24:59;-23.455092;-47.463747
05/04/2020, 11:25:00;-23.454973;-47.463692
05/04/2020, 11:25:01;-23.454852;-47.463632
05/04/2020, 11:25:02;-23.45472;-47.463572
05/04/2020, 11:25:03;-23.454592;-47.463517
05/04/2020, 11:25:04;-23.454457;-47.463448
05/04/2020, 11:25:05;-23.454318;-47.463385
05/04/2020, 11:25:06;-23.454188;-47.463323
05/04/2020, 11:25:07;-23.454065;-47.463268
05/04/2020, 11:25:08;-23.45395;-47.463223
05/04/2020, 11:25:09;-23.453845;-47.463172
05/04/2020, 11:25:10;-23.45375;-47.463133
05/04/2020, 11:25:11;-23.453673;-47.463103
05/04/2020, 11:25:12;-23.453617;-47.463097
05/04/2020, 11:25:13;-23.453597;-47.463103
05/04/2020, 11:25:14;-23.45359;-47.46311
05/04/2020, 11:25:15;-23.453592;-47.46313
05/04/2020, 11:25:16;-23.453578;-47.463143
05/04/2020, 11:25:17;-23.45356;-47.46317
05/04/2020, 11:25:18;-23.453547;-47.463208
05/04/2020, 11:25:19;-23.45355;-47.463252
05/04/2020, 11:25:20;-23.45356;-47.463292
05/04/2020, 11:25:21;-23.453555;-47.463355
05/04/2020, 11:25:22;-23.453553;-47.463417
05/04/2020, 11:25:23;-23.45355;-47.463497
05/04/2020, 11:25:24;-23.453548;-47.463578
05/04/2020, 11:25:25;-23.453535;-47.463648
05/04/2020, 11:25:26;-23.453508;-47.4637
05/04/2020, 11:25:27;-23.45348;-47.463747
05/04/2020, 11:25:28;-23.453442;-47.463777
05/04/2020, 11:25:29;-23.453393;-47.463785
05/04/2020, 11:25:30;-23.453347;-47.463783
05/04/2020, 11:25:31;-23.453323;-47.463805
05/04/2020, 11:25:32;-23.453288;-47.463802
05/04/2020, 11:25:33;-23.453258;-47.463808
05/04/2020, 11:25:34;-23.453242;-47.463808
05/04/2020, 11:25:35;-23.453232;-47.463813
05/04/2020, 11:25:36;-23.453232;-47.463812
05/04/2020, 11:25:37;-23.453235;-47.463815
05/04/2020, 11:25:38;-23.453245;-47.463822
05/04/2020, 11:25:39;-23.453255;-47.463832
05/04/2020, 11:25:40;-23.45326;-47.463837
05/04/2020, 11:25:41;-23.45326;-47.463837
05/04/2020, 11:25:42;-23.45326;-47.463837
05/04/2020, 11:25:43;-23.45326;-47.463837
05/04/2020, 11:25:44;-23.453257;-47.463833
05/04/2020, 11:25:45;-23.453252;-47.46383
05/04/2020, 11:25:46;-23.453253;-47.463823
05/04/2020, 11:25:47;-23.453257;-47.463822
05/04/2020, 11:25:48;-23.453258;-47.46382
05/04/2020, 11:25:49;-23.453262;-47.463818
05/04/2020, 11:25:50;-23.453267;-47.463822
05/04/2020, 11:25:52;-23.453268;-47.463815
05/04/2020, 11:25:53;-23.45327;-47.463808
05/04/2020, 11:25:54;-23.453268;-47.4638
05/04/2020, 11:25:55;-23.45327;-47.46379
05/04/2020, 11:25:56;-23.45327;-47.46379
05/04/2020, 11:25:57;-23.453263;-47.463777
05/04/2020, 11:25:58;-23.45325;-47.463763
05/04/2020, 11:25:59;-23.453232;-47.463748
05/04/2020, 11:26:00;-23.453212;-47.463727
05/04/2020, 11:26:01;-23.453173;-47.463713
05/04/2020, 11:26:02;-23.453117;-47.46371
05/04/2020, 11:26:03;-23.453052;-47.463717
